source_type,target_type,n,n_projects,mean_delta_full,ci_low_full,ci_high_full,mean_delta_no_relevance,ci_low_no_relevance,ci_high_no_relevance
EDIT,LOC,15,4,-1.0666666666666667,-2,-0.75,-0.6,-1,-0.25
EDIT,LOGIC,15,5,-0.6666666666666666,-1.2,-0.125,-0.5333333333333333,-1,0.07142857142857142
EDIT,PLAN,8,3,-0.75,-1,0,-0.75,-1,0
LOC,EDIT,28,9,-0.2857142857142857,-0.5925925925925926,0,-0.25,-0.5652173913043478,0.05
LOC,LOGIC,15,5,-0.2,-0.8,0.16666666666666666,-0.06666666666666667,-0.7,0.22727272727272727
LOC,PLAN,8,3,-0.375,-1,0,-0.375,-1,0
LOGIC,EDIT,26,8,-0.23076923076923078,-0.5,0.058823529411764705,-0.2692307692307692,-0.5263157894736842,0
LOGIC,LOC,15,4,-0.8666666666666667,-2,-0.5833333333333334,-0.4,-1,-0.1875
LOGIC,PLAN,8,3,-0.5,-1,0,-0.5,-1,0
PLAN,EDIT,15,7,1,0.7272727272727273,1.1428571428571428,0.13333333333333333,-0.25,0.46153846153846156
PLAN,LOC,15,4,-0.06666666666666667,-1,0.16666666666666666,-0.13333333333333333,-0.4,0.2857142857142857
PLAN,LOGIC,15,5,0.3333333333333333,-0.45454545454545453,0.8235294117647058,-0.4,-0.9090909090909091,-0.07142857142857142
