model,method,data,source_kind,n_runs,n_samples,orig_acc_mean_pct,orig_acc_seed_std_pct,consistency_mean_pct,consistency_seed_std_pct,parse_fail_rate_mean_pct,missing_sources,source_paths,note
Qwen2.5-7B,Baseline,---,eval_results,1,449,80.17817371937639,,81.51447661469933,,0.0,,results/baseline_qwen7b/eval_results.json,
Qwen2.5-7B,SFT,unbal,eval_results,1,449,100.0,,0.0,,0.0,,results/SFT_unbalanced/eval/eval_results.json,
Qwen2.5-7B,DPO,unbal,eval_results,1,449,94.20935412026726,,54.342984409799556,,0.0,,results/DPO_unbalanced/eval/eval_results.json,
Qwen2.5-7B,GRPO,unbal,eval_results,4,449;449;449;449,94.65478841870825,0.909238954262504,58.74164810690423,9.091252922889009,0.0,,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json,
Qwen2.5-7B,SFT,bal,eval_results,1,449,91.31403118040089,,87.08240534521158,,0.0,,results/SFT_balanced/eval/eval_results.json,
Qwen2.5-7B,GRPO,bal,eval_results,5,449;449;449;449;449,83.69710467706012,1.1068840659054944,84.00890868596882,0.7618098608680194,0.0,,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json,
Qwen3-8B,Baseline,---,eval_results,1,449,85.96881959910914,,80.40089086859689,,2.338530066815145,,results/baseline_qwen3_8b/eval/eval_results.json,Canonical Qwen3 baseline uses disable_thinking and low parse failure; excludes legacy top-level baseline_qwen3_8b/eval_results.json.
Qwen3-8B,SFT,unbal,eval_results,2,449;449,100.0,0.0,0.0,0.0,0.0,,results/SFT_qwen3_8b_unbalanced/eval/eval_results.json;results/SFT_qwen3_8b_unbal_s2/eval/eval_results.json,
Qwen3-8B,DPO,unbal,eval_results,1,449,89.30957683741649,,81.29175946547885,,0.0,,results/DPO_qwen3_8b_unbalanced/eval/eval_results.json,
Qwen3-8B,GRPO,unbal,eval_results,3,449;449;449,88.71566443949519,0.34020606495589495,79.9554565701559,1.0206181948676694,0.4083147735708983,,results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json;results/GRPO_qwen3_8b_unbalanced_s2/eval/eval_results.json;results/GRPO_qwen3_8b_unbal_s3/eval/eval_results.json,
Qwen3-8B,SFT,bal,eval_results,2,449;449,88.53006681514476,1.1023936455024166,89.08685968819599,0.3149696130006916,0.0,,results/SFT_qwen3_8b_balanced/eval/eval_results.json;results/SFT_qwen3_8b_balanced_s2/eval/eval_results.json,
Qwen3-8B,DPO,bal,eval_results,1,449,88.64142538975501,,85.30066815144765,,0.0,,results/DPO_qwen3_8b_balanced/eval/eval_results.json,
Qwen3-8B,GRPO,bal,eval_results,2,449;449,87.41648106904232,0.787424032501725,82.1826280623608,0.6299392260013753,0.0,,results/GRPO_qwen3_8b_balanced/eval/eval_results.json;results/GRPO_qwen3_8b_balanced_s2/eval/eval_results.json,
Mistral-7B,Baseline,---,metrics_json,1,449,65.70155902004454,,64.81069042316258,,0.11135857461024498,,results/baseline_mistral7b/eval/metrics.json,The local eval_results artifact is a partial 80-sample file; metrics.json reports the canonical 449-sample run used in the paper.
Mistral-7B,SFT,unbal,eval_results,1,449,100.0,,0.0,,0.0,,results/SFT_mistral7b_unbal/eval/eval_results.json,
Mistral-7B,SFT,bal,eval_results,1,449,92.20489977728286,,84.85523385300668,,0.0,,results/SFT_mistral7b_balanced/eval/eval_results.json,
Mistral-7B,GRPO,unbal,eval_results,3,449;449;449,98.44097995545657,0.3857574181667874,23.01410541945063,3.5518555943298247,0.0,,results/GRPO_mistral7b_unbal/eval/eval_results.json;results/GRPO_mistral7b_unbal_s2/eval/eval_results.json;results/GRPO_mistral7b_unbal_s3/eval/eval_results.json,
Mistral-7B,GRPO,bal,eval_results,2,449;449,81.06904231625836,0.944908839002067,68.26280623608018,3.622150549507926,0.0,,results/GRPO_mistral7b_balanced/eval/eval_results.json;results/GRPO_mistral7b_balanced_s2/eval/eval_results.json,
