model,control,eval_mode,include_in_paper,n_runs,n_samples,orig_acc_mean_pct,swap_acc_mean_pct,consistency_mean_pct,first_pos_rate_mean_pct,orig_first_rate_mean_pct,parse_fail_rate_mean_pct,orig_acc_values_pct,consistency_values_pct,orig_first_rate_values_pct,parse_fail_rate_values_pct,source_paths,note
Qwen2.5-7B,A / B,standard prompt,True,1,449,93.98663697104676,57.23830734966593,61.69265033407573,67.37193763919822,93.98663697104676,0.0,93.986637,61.692650,93.986637,0.000000,results/EXP-009_full_composite/eval/eval_results.json,Standard unbalanced-GRPO full-composite run used as the Qwen2.5 label-control anchor.
Qwen2.5-7B,Anti-prompt,ordering-randomized instruction,True,1,449,93.76391982182628,58.35189309576837,63.91982182628062,66.25835189309576,93.76391982182628,0.0,93.763920,63.919822,93.763920,0.000000,results/GRPO_antiprompt_eval/eval_results.json,Prompt-level mitigation: instructs the judge to ignore order and notes that ordering is random.
Qwen2.5-7B,1 / 2,numeric labels,True,1,449,94.65478841870824,56.347438752783965,60.801781737193764,67.26057906458797,94.65478841870824,0.0,94.654788,60.801782,94.654788,0.000000,results/label_variant_numeric/eval_results.json,Alternative label vocabulary for the same unbalanced-GRPO checkpoint.
Qwen2.5-7B,Left / Right,spatial labels,True,1,449,94.20935412026726,55.45657015590201,59.910913140311806,67.92873051224944,94.20935412026726,0.0,94.209354,59.910913,94.209354,0.000000,results/label_variant_leftright/eval_results.json,Alternative label vocabulary for the same unbalanced-GRPO checkpoint.
Qwen3-8B,A / B,standard prompt,True,1,449,88.41870824053451,73.4966592427617,78.84187082405344,55.233853006681514,88.41870824053451,1.1135857461024499,88.418708,78.841871,88.418708,1.113586,results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json,Standard Qwen3 unbalanced accuracy-reward run used as the label-control anchor.
Qwen3-8B,Anti-prompt,"ordering-randomized instruction, thinking disabled",True,1,449,87.97327394209354,73.94209354120267,80.17817371937639,55.67928730512249,87.97327394209354,0.6681514476614699,87.973274,80.178174,87.973274,0.668151,results/antiprompt_qwen3_nothink/eval_results.json,Reported anti-prompt control with thinking disabled to keep parse failures low.
Qwen3-8B,1 / 2,"numeric labels, thinking disabled",True,1,449,88.41870824053451,75.50111358574611,81.73719376391982,54.89977728285078,88.41870824053451,1.2249443207126949,88.418708,81.737194,88.418708,1.224944,results/label_variant_numeric_qwen3_nothink/eval_results.json,Reported numeric-label control with thinking disabled to keep parse failures low.
Qwen3-8B,Left / Right,"spatial labels, thinking disabled",True,1,449,85.74610244988864,78.17371937639199,83.74164810690424,52.672605790645875,85.74610244988864,1.0022271714922049,85.746102,83.741648,85.746102,1.002227,results/label_variant_leftright_qwen3_nothink/eval_results.json,Reported spatial-label control with thinking disabled to keep parse failures low.
Qwen3-8B,Anti-prompt (thinking on),"ordering-randomized instruction, thinking enabled",False,1,449,56.792873051224944,54.342984409799556,77.06013363028953,31.625835189309576,56.792873051224944,38.97550111358575,56.792873,77.060134,56.792873,38.975501,results/antiprompt_qwen3/eval_results.json,Diagnostic only: high parse-failure rate makes the control hard to interpret.
Qwen3-8B,1 / 2 (thinking on),"numeric labels, thinking enabled",False,1,449,54.342984409799556,53.4521158129176,80.84632516703786,29.06458797327394,54.342984409799556,42.31625835189309,54.342984,80.846325,54.342984,42.316258,results/label_variant_numeric_qwen3/eval_results.json,Diagnostic only: high parse-failure rate makes the control hard to interpret.
Qwen3-8B,Left / Right (thinking on),"spatial labels, thinking enabled",False,1,449,57.46102449888642,54.12026726057907,78.17371937639199,31.06904231625835,57.46102449888642,39.643652561247215,57.461024,78.173719,57.461024,39.643653,results/label_variant_leftright_qwen3/eval_results.json,Diagnostic only: high parse-failure rate makes the control hard to interpret.
Mistral-7B,A / B,standard prompt,True,1,449,98.88641425389754,18.93095768374165,20.044543429844097,89.86636971046771,98.88641425389754,0.0,98.886414,20.044543,98.886414,0.000000,results/GRPO_mistral7b_unbal/eval/eval_results.json,Standard Mistral unbalanced-GRPO run used as the label-control anchor.
Mistral-7B,Anti-prompt,ordering-randomized instruction,True,1,449,98.66369710467706,17.59465478841871,18.93095768374165,90.53452115812918,98.66369710467706,0.0,98.663697,18.930958,98.663697,0.000000,results/antiprompt_mistral/eval_results.json,Prompt-level mitigation: instructs the judge to ignore order and notes that ordering is random.
Mistral-7B,1 / 2,numeric labels,True,1,449,99.55456570155901,11.58129175946548,12.026726057906458,93.87527839643653,99.55456570155901,0.0,99.554566,12.026726,99.554566,0.000000,results/label_variant_numeric_mistral/eval_results.json,Alternative label vocabulary for the same unbalanced-GRPO checkpoint.
Mistral-7B,Left / Right,spatial labels,True,1,449,99.10913140311804,14.699331848552339,15.590200445434299,92.20489977728286,99.10913140311804,0.0,99.109131,15.590200,99.109131,0.000000,results/label_variant_leftright_mistral/eval_results.json,Alternative label vocabulary for the same unbalanced-GRPO checkpoint.
