variant,reward,steps,include_in_paper,n_runs,n_samples,orig_acc_mean_pct,swap_acc_mean_pct,consistency_mean_pct,first_pos_rate_mean_pct,delta_orig_acc_from_previous_pp,delta_consistency_from_previous_pp,delta_first_pos_from_previous_pp,source_paths,note
Baseline,none,0,True,1,449,80.17817371937639,75.27839643652561,81.51447661469933,49.33184855233853,,,,results/baseline_qwen7b/eval_results.json,Untrained Qwen2.5-7B baseline shared by both trajectories.
Acc-only,accuracy,100,True,1,449,85.96881959910914,74.16481069042317,80.84632516703786,53.786191536748326,5.790645879732748,-0.6681514476614692,4.454342984409799,results/EXP-006_accuracy_only/eval_ckpt100/eval_results.json,Accuracy-reward checkpoint used for the paired dynamics table.
Acc-only,accuracy,200,True,1,449,89.086859688196,70.37861915367483,76.83741648106904,57.12694877505567,3.11804008908686,-4.008908685968815,3.340757238307346,results/EXP-006_accuracy_only/eval_ckpt200/eval_results.json,Accuracy-reward checkpoint used for the paired dynamics table.
Acc-only,accuracy,300,True,1,449,92.20489977728286,60.57906458797328,65.25612472160356,63.69710467706013,3.11804008908686,-11.581291759465485,6.57015590200446,results/EXP-006_accuracy_only/eval_ckpt300/eval_results.json,Accuracy-reward checkpoint used for the paired dynamics table.
Acc-only,accuracy,500,True,1,449,94.43207126948775,56.792873051224944,60.801781737193764,67.37193763919822,2.2271714922048935,-4.454342984409799,3.674832962138086,results/EXP-006_accuracy_only/eval/eval_results.json,Final accuracy-reward run used as the 500-step endpoint.
Full,full,100,True,1,449,84.63251670378618,73.94209354120267,81.73719376391982,53.4521158129176,4.454342984409799,0.22271714922049712,4.12026726057907,results/EXP-009_full_composite/eval_ckpt100/eval_results.json,Full-reward checkpoint used for the paired dynamics table.
Full,full,200,True,1,449,90.8685968819599,68.59688195991092,74.61024498886414,59.79955456570156,6.23608017817372,-7.126948775055686,6.347438752783963,results/EXP-009_full_composite/eval_ckpt200/eval_results.json,Full-reward checkpoint used for the paired dynamics table.
Full,full,300,True,1,449,93.54120267260579,61.46993318485523,65.92427616926503,64.92204899777283,2.6726057906458878,-8.685968819599111,5.122494432071267,results/EXP-009_full_composite/eval_ckpt300/eval_results.json,Full-reward checkpoint used for the paired dynamics table.
Full,full,400,False,1,449,95.32293986636972,59.24276169265033,63.474387527839646,66.70378619153675,1.7817371937639215,-2.4498886414253795,1.7817371937639215,results/EXP-009_full_composite/eval_step400/eval_results.json,Additional full-reward-only checkpoint; omitted from the paired paper table because acc-only lacks a matching 400-step artifact.
Full,full,500,True,1,449,93.98663697104676,57.23830734966593,61.69265033407573,67.37193763919822,-1.3363028953229494,-1.7817371937639215,0.6681514476614692,results/EXP-009_full_composite/eval/eval_results.json,Final full-reward run used as the 500-step endpoint.
