domain,method,n_runs,mean_accuracy_pct,sd_accuracy_pct,base_accuracy_pct,mean_delta_from_base_pp,seed_metadata_mismatches
Math,SFT,4,87.8316906747536,0.516062114143599,84.38210765731615,3.4495830174374476,2
Math,GRPO-5e-7,2,85.02653525398028,0.48248377791348956,84.38210765731615,0.64442759666413,0
Math,GRPO-high,4,92.02047005307051,0.6293863737888404,84.38210765731615,7.638362395754356,2
Science,SFT,4,73.63753925734343,0.4910992558008971,71.10659523369665,2.530944023646782,2
Science,GRPO-5e-7,2,71.45760206909293,0.36576740944436564,71.10659523369665,0.35100683539627653,0
Science,GRPO-high,4,79.09661924995382,1.4518686784857353,71.10659523369665,7.990024016257166,2
Medicine,SFT,4,59.66221523959152,0.9127219197660869,59.151610369206594,0.510604870384924,2
Medicine,GRPO-5e-7,2,58.71956009426551,0.499918384185304,59.151610369206594,-0.4320502749410835,0
Medicine,GRPO-high,4,64.37549096622152,2.9036878553227505,59.151610369206594,5.223880597014926,2
Law,SFT,3,58.819571277516104,0.06303411058638647,57.58915697394982,1.2304143035662847,1
Law,GRPO-5e-7,1,54.56118427376718,,57.58915697394982,-3.0279727001826373,0
Law,GRPO-high,4,58.57204652504086,0.8878839799269795,57.58915697394982,0.9828895510910414,2
Commonsense,SFT,4,46.847318408761474,0.31053018979962627,43.783217909486225,3.0641004992752485,2
Commonsense,GRPO-5e-7,1,44.41939120631341,,43.783217909486225,0.636173296827188,0
Commonsense,GRPO-high,3,59.82444838138187,6.725392706136743,43.783217909486225,16.041230471895645,1
